date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:39	71264/71264	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3498-11660%22	https://html.rovadex.com/html-quadex/index.html	D:/Drone/Drone/html.rovadex.com/html-quadex/index.html	(from )
12:13:40	50/50	---MCZ	200	added ('OK')	text/plain	date:Sun,%2010%20Jul%202022%2006:44:19%20GMT	https://html.rovadex.com/robots.txt		(from )
12:13:41	104877/104877	---M--	200	added ('OK')	image/png	etag:%225e7e34b7-199ad%22	https://html.rovadex.com/html-quadex/img/favicon.png	D:/Drone/Drone/html.rovadex.com/html-quadex/img/favicon.png	(from https://html.rovadex.com/html-quadex/index.html)
12:13:41	5261/5261	---MCZ	200	added ('OK')	text/css	etag:W/%225e7e349c-148d%22	https://html.rovadex.com/html-quadex/css/critical.css	D:/Drone/Drone/html.rovadex.com/html-quadex/css/critical.css	(from https://html.rovadex.com/html-quadex/index.html)
12:13:42	4905/4905	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e7e34ab-1329%22	https://html.rovadex.com/html-quadex/img/bg-body.svg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/bg-body.svg	(from https://html.rovadex.com/html-quadex/index.html)
12:13:42	2548/2548	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e7e34cf-9f4%22	https://html.rovadex.com/html-quadex/img/logo.svg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/logo.svg	(from https://html.rovadex.com/html-quadex/index.html)
12:13:42	31910/31910	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3496-7ca6%22	https://html.rovadex.com/html-quadex/about.html	D:/Drone/Drone/html.rovadex.com/html-quadex/about.html	(from https://html.rovadex.com/html-quadex/index.html)
12:13:43	16285/16285	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3499-3f9d%22	https://html.rovadex.com/html-quadex/services.html	D:/Drone/Drone/html.rovadex.com/html-quadex/services.html	(from https://html.rovadex.com/html-quadex/index.html)
12:13:43	17578/17578	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3497-44aa%22	https://html.rovadex.com/html-quadex/blog.html	D:/Drone/Drone/html.rovadex.com/html-quadex/blog.html	(from https://html.rovadex.com/html-quadex/index.html)
12:13:43	14023/14023	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3499-36c7%22	https://html.rovadex.com/html-quadex/pravicy-policy.html	D:/Drone/Drone/html.rovadex.com/html-quadex/pravicy-policy.html	(from https://html.rovadex.com/html-quadex/index.html)
